Country,Year,Revenue_Total,Expenditure_Total,Expenditure_Interest,Total_Debt,SFA,IR,Surplus,Primary_Surplus
Germany,1960-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1961-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1962-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1963-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1964-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1965-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1966-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1967-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1968-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1969-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1970-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1971-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1972-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1973-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1974-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1975-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1976-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1977-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1978-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1979-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1980-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1981-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1982-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1983-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1984-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1985-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1986-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1987-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1988-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1989-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1990-01-01,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1991-01-01,686.311,736.883,42.517,NA,NA,NA,-50.572,-8.055
Germany,1992-01-01,761.026,805.365,52.62,NA,NA,NA,-44.339000000000055,8.280999999999942
Germany,1993-01-01,790.261,844.45,55.596,NA,NA,NA,-54.18900000000008,1.4069999999999183
Germany,1994-01-01,837.075,883.25,60.627,NA,NA,NA,-46.174999999999955,14.452000000000048
Germany,1995-01-01,870.238,1049.528,66.581,1040.2,NA,NA,-179.28999999999996,-112.70899999999996
Germany,1996-01-01,885.563,955.732,66.769,1110.4,0.1,6.4189401,-70.16899999999998,-3.3999999999999773
Germany,1997-01-01,899.509,959.06,66.801,1154.5,-15.5,6.0157175,-59.55099999999993,7.250000000000071
Germany,1998-01-01,923.01,976.592,67.765,1199.3,-8.8,5.8698358,-53.581999999999994,14.183000000000007
Germany,1999-01-01,968.416,1007.187,64.274,1243.7,5.6,5.3593863,-38.77099999999996,25.503000000000043
Germany,2000-01-01,986.936,1023.445,67.54,1251.5,-28.6,5.4307168,-36.509000000000015,31.03099999999999
Germany,2001-01-01,977.627,1046.229,66.201,1264.3,-55.9,5.2896034,-68.60200000000009,-2.4010000000000957
Germany,2002-01-01,981.788,1072.638,66.135,1317.7,-37.4,5.2310948,-90.84999999999991,-24.714999999999904
Germany,2003-01-01,1001.289,1087.101,65.075,1405.2,1.7,4.9386057,-85.81200000000013,-20.737000000000123
Germany,2004-01-01,998.635,1077.08,63.816,1475.2,-8.5,4.541435,-78.44499999999994,-14.628999999999934
Germany,2005-01-01,1011.597,1089.993,63.494,1545.7,-7.9,4.3041434,-78.39599999999996,-14.901999999999958
Germany,2006-01-01,1056.69,1099.274,65.218,1595.3,7.1,4.2194014,-42.58399999999983,22.63400000000017
Germany,2007-01-01,1110.816,1106.879,67.686,1603.7,12.3,4.2428078,3.9370000000001255,71.62300000000013
Germany,2008-01-01,1143.471,1150.28,69.096,1672.6,62.1,4.3086195,-6.808999999999969,62.287000000000035
Germany,2009-01-01,1125.612,1204.819,65.189,1789.2,37.4,3.8975203,-79.20699999999988,-14.017999999999887
Germany,2010-01-01,1143.087,1258.707,63.851,2102.7,197.8,3.5686634,-115.62000000000012,-51.76900000000012
Germany,2011-01-01,1220.989,1244.063,67.98,2139.1,13.4,3.2330288,-23.07400000000007,44.905999999999935
Germany,2012-01-01,1260.986,1262.507,64.185,2216.7,76,3.000492,-1.5209999999999582,62.664000000000044
Germany,2013-01-01,1298.112,1294.6,51.902,2201.9,-11.3,2.3414036,3.512000000000171,55.41400000000017
Germany,2014-01-01,1350.164,1328.332,47.547,2203.7,23.7,2.159345,21.83199999999988,69.37899999999988
Germany,2015-01-01,1401.532,1373.293,42.913,2177.2,1.7,1.9472782,28.239000000000033,71.15200000000003
Germany,2016-01-01,1465.493,1429.256,37.888,2161.6,20.6,1.7401922,36.23699999999985,74.12499999999986
Germany,2017-01-01,1529.123,1484.552,34.489,2130.3,13.3,1.5955676,44.57100000000014,79.06000000000014
Germany,2018-01-01,1597.996,1533.328,31.787,2083.7,18,1.4921204,64.66800000000012,96.45500000000013
Germany,2019-01-01,1657.565,1610.615,28.052,2069.9,33.2,1.346275,46.950000000000045,75.00200000000004
Germany,2020-01-01,1612.652,1763.784,22.39,2347,125.9,1.0817004,-151.13200000000006,-128.74200000000008
Germany,2021-01-01,1747.866,1864.302,21.734,2502.8,39.4,0.9260512,-116.43599999999992,-94.70199999999991
Germany,2022-01-01,1852.59,1937.465,27.871,2569.9,-17.8,1.113585,-84.875,-57.004000000000005
Germany,2023-01-01,1917.448,2024.97,36.567,2631.8,-45.6,1.4228975,-107.52199999999993,-70.95499999999993
Germany,2024-01-01,2012.341,2105.752,44.74021,2710.2,-15,1.7,-93.41100000000006,-48.67079000000006
Germany,2025-01-01,2091.927,2178.782,47.42829,2802,5,1.75,-86.85500000000002,-39.42671000000002
Germany,2026-01-01,2168.105,2248.633,50.43677,2887.6,5,1.8,-80.52799999999979,-30.09122999999979
France,1960-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1961-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1962-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1963-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1964-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1965-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1966-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1967-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1968-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1969-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1970-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1971-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1972-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1973-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1974-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1975-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1976-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1977-01-01,NA,NA,NA,NA,NA,NA,NA,NA
France,1978-01-01,151.298,157.562,3.597,NA,NA,NA,-6.26400000000001,-2.66700000000001
France,1979-01-01,179.153,181.073,4.513,NA,NA,NA,-1.920000000000016,2.592999999999984
France,1980-01-01,207.706,209.642,5.508,NA,NA,NA,-1.936000000000007,3.571999999999993
France,1981-01-01,237.397,249.675,8.669,NA,NA,NA,-12.27800000000002,-3.6090000000000195
France,1982-01-01,277.762,294.386,10.253,NA,NA,NA,-16.624000000000024,-6.3710000000000235
France,1983-01-01,313.57,330.098,14.355,NA,NA,NA,-16.52800000000002,-2.1730000000000196
France,1984-01-01,346.004,365.348,16.485,NA,NA,NA,-19.343999999999994,-2.8589999999999947
France,1985-01-01,373.838,396.36,19.144,NA,NA,NA,-22.52199999999999,-3.377999999999993
France,1986-01-01,396.741,422.787,20.811,NA,NA,NA,-26.045999999999992,-5.234999999999992
France,1987-01-01,422.038,439.28,21.082,NA,NA,NA,-17.241999999999962,3.840000000000039
France,1988-01-01,444.837,468.563,21.927,NA,NA,NA,-23.726,-1.7989999999999995
France,1989-01-01,475.534,493.305,24.456,NA,NA,NA,-17.771000000000015,6.6849999999999845
France,1990-01-01,502.524,528.166,28.115,NA,NA,NA,-25.642000000000053,2.4729999999999457
France,1991-01-01,528.479,559.735,30.544,NA,NA,NA,-31.255999999999972,-0.7119999999999713
France,1992-01-01,542.759,594.798,33.664,NA,NA,NA,-52.03899999999999,-18.374999999999986
France,1993-01-01,557.876,630.501,36.759,NA,NA,NA,-72.625,-35.866
France,1994-01-01,580.523,644.506,39.168,NA,NA,NA,-63.98299999999995,-24.814999999999948
France,1995-01-01,618.332,680.37,41.9826,701.6,NA,NA,-62.03800000000001,-20.055400000000013
France,1996-01-01,649.94,698.524,45.0734,755.6,5.36,6.4240222,-48.583999999999946,-3.510599999999947
France,1997-01-01,668.781,716.647,45.7963,799.4,-4.07,6.0610404,-47.8660000000001,-2.069700000000097
France,1998-01-01,694.521,726.716,45.5858,836.1,4.49,5.7026531,-32.19500000000005,13.390799999999949
France,1999-01-01,727.045,748.589,42.9433,856.9,-0.66,5.1363934,-21.544000000000096,21.399299999999904
France,2000-01-01,756.007,775.349,43.6059,880,3.72,5.0885385,-19.342000000000098,24.2638999999999
France,2001-01-01,786.539,808.226,46.7064,907.7,5.98,5.3075165,-21.687000000000012,25.01939999999999
France,2002-01-01,800.987,851.107,47.7935,966.8,9.03,5.2654999,-50.120000000000005,-2.326500000000003
France,2003-01-01,815.469,881.786,46.6581,1060.4,27.27,4.825922,-66.3169999999999,-19.658899999999896
France,2004-01-01,855.607,915.906,47.5106,1134.3,13.64,4.4804143,-60.29899999999998,-12.788399999999982
France,2005-01-01,894.341,956.143,47.8451,1201.5,5.32,4.2178543,-61.80200000000002,-13.956900000000019
France,2006-01-01,943.178,992.241,48.0601,1207.3,-43.22,4.0001059,-49.06299999999999,-1.0028999999999897
France,2007-01-01,981.352,1039.288,52.0952,1268.9,3.61,4.3149716,-57.936000000000035,-5.840800000000037
France,2008-01-01,1010.53,1080.221,57.1693,1389.4,50.85,4.5055687,-69.69100000000003,-12.521700000000031
France,2009-01-01,979.773,1122.607,49.2815,1627.2,94.95,3.5469586,-142.83399999999995,-93.55249999999995
France,2010-01-01,1009.201,1151.962,50.7079,1722.2,-47.77,3.1163013,-142.76099999999997,-92.05309999999997
France,2011-01-01,1066.319,1175.705,55.9957,1830.1,-1.42,3.2514577,-109.38599999999997,-53.39029999999997
France,2012-01-01,1100.966,1208.953,54.9408,1915.8,-22.29,3.0020059,-107.98700000000008,-53.04620000000008
France,2013-01-01,1137.646,1242.358,49.426,2004.7,-15.84,2.579867,-104.71199999999999,-55.28599999999999
France,2014-01-01,1159.145,1257.649,47.3158,2070.6,-32.63,2.360239,-98.5039999999999,-51.1881999999999
France,2015-01-01,1182.327,1268.008,44.7074,2134.1,-22.19,2.1591735,-85.68100000000004,-40.97360000000004
France,2016-01-01,1196.623,1280.648,42.4307,2190,-28.09,1.988252,-84.02499999999986,-41.59429999999986
France,2017-01-01,1244.387,1321.445,41.0201,2262.4,-4.62,1.8730579,-77.05799999999999,-36.03789999999999
France,2018-01-01,1273.016,1327.632,41.6606,2319.8,2.72,1.8413991,-54.615999999999985,-12.955399999999983
France,2019-01-01,1287.929,1346.155,36.8682,2386.1,8.13,1.5893006,-58.225999999999885,-21.357799999999884
France,2020-01-01,1223.273,1430.357,29.7241,2662.1,68.89,1.2457016,-207.08400000000006,-177.35990000000007
France,2021-01-01,1326.275,1491.424,34.7999,2826.7,-0.53,1.3072324,-165.1489999999999,-130.34909999999988
France,2022-01-01,1424.97,1550.743,50.9131,2953.6,1.12,1.8011332,-125.77299999999991,-74.85989999999991
France,2023-01-01,1455.038,1609.883,52.7941,3101.4,-7.09,1.7874347,-154.84500000000003,-102.05090000000003
France,2024-01-01,1496.94,1678.565,63.41795,3289.1,6.12,2.0448328,-181.625,-118.20705000000001
France,2025-01-01,1559.014,1716.153,75.39014,3447.5,1.24,2.2921078,-157.13900000000012,-81.74886000000012
France,2026-01-01,1599.105,1764.876,87.32107,3607.8,-5.44,2.532884,-165.77099999999996,-78.44992999999995
Italy,1960-01-01,NA,NA,NA,4,NA,NA,NA,NA
Italy,1961-01-01,NA,NA,NA,4.3,NA,NA,NA,NA
Italy,1962-01-01,NA,NA,NA,4.6,NA,NA,NA,NA
Italy,1963-01-01,NA,NA,NA,5,NA,NA,NA,NA
Italy,1964-01-01,NA,NA,NA,5.5,NA,NA,NA,NA
Italy,1965-01-01,NA,NA,NA,6.1,NA,NA,NA,NA
Italy,1966-01-01,NA,NA,NA,7.8,NA,NA,NA,NA
Italy,1967-01-01,NA,NA,NA,8.6,NA,NA,NA,NA
Italy,1968-01-01,NA,NA,NA,10,NA,NA,NA,NA
Italy,1969-01-01,NA,NA,NA,11.3,NA,NA,NA,NA
Italy,1970-01-01,NA,NA,NA,13.1,NA,NA,NA,NA
Italy,1971-01-01,NA,NA,NA,16.1,NA,NA,NA,NA
Italy,1972-01-01,NA,NA,NA,20.1,NA,NA,NA,NA
Italy,1973-01-01,NA,NA,NA,25.8,NA,NA,NA,NA
Italy,1974-01-01,NA,NA,NA,32.4,NA,NA,NA,NA
Italy,1975-01-01,NA,NA,NA,41.9,NA,NA,NA,NA
Italy,1976-01-01,NA,NA,NA,52.3,NA,NA,NA,NA
Italy,1977-01-01,NA,NA,NA,62.5,NA,NA,NA,NA
Italy,1978-01-01,NA,NA,NA,79.1,NA,NA,NA,NA
Italy,1979-01-01,NA,NA,NA,94.8,NA,NA,NA,NA
Italy,1980-01-01,NA,NA,NA,114.1,NA,NA,NA,NA
Italy,1981-01-01,NA,NA,NA,142.4,NA,NA,NA,NA
Italy,1982-01-01,NA,NA,NA,181.6,NA,NA,NA,NA
Italy,1983-01-01,NA,NA,NA,232.4,NA,NA,NA,NA
Italy,1984-01-01,NA,NA,NA,286.7,NA,NA,NA,NA
Italy,1985-01-01,NA,NA,NA,347.6,NA,NA,NA,NA
Italy,1986-01-01,NA,NA,NA,404.3,NA,NA,NA,NA
Italy,1987-01-01,NA,NA,NA,463.1,NA,NA,NA,NA
Italy,1988-01-01,NA,NA,NA,524.5,NA,NA,NA,NA
Italy,1989-01-01,NA,NA,NA,591.6,NA,NA,NA,NA
Italy,1990-01-01,NA,NA,NA,667.8,NA,NA,NA,NA
Italy,1991-01-01,NA,NA,NA,755,NA,NA,NA,NA
Italy,1992-01-01,NA,NA,NA,849.9,NA,NA,NA,NA
Italy,1993-01-01,NA,NA,NA,959.7,NA,NA,NA,NA
Italy,1994-01-01,NA,NA,NA,1069.4,NA,NA,NA,NA
Italy,1995-01-01,438.289,509.592,109.776,1179.6,38.87,10.2650505,-71.303,38.473
Italy,1996-01-01,468.772,538.01,115.57,1245.7,-3.1,9.7974828,-69.238,46.331999999999994
Italy,1997-01-01,507.513,540.15,99.866,1275.7,-2.69,8.0166559,-32.637,67.229
Italy,1998-01-01,513.774,547.851,89.383,1299.7,-10.01,7.0067071,-34.077,55.306
