Country,Year,Revenue_Taxes_Direct,Revenue_Social_Contribution,Revenue_Taxes_Indirect,Revenue_Total,Revenue_Capital_Transfers,Revenue_Others
France,1961,2.73567208078313,5.64746951361201,8.29381683832271,19.954727664736,0.31935652969408296,2.9584127023240447
France,1962,2.84803838703463,6.52601144017883,9.36714253245563,22.439492807541402,0.3579183196213,3.340382128251056
France,1963,3.15669769199449,7.72006842403857,10.6764561303209,25.761108329413798,0.401241367903582,3.806644715156266
France,1964,3.8864820473747903,8.75821796754343,11.978083150949601,29.1796041437066,0.44502355999024895,4.11179741784855
France,1965,4.35106203215974,9.6461603427269,12.820412225270001,31.7953642960662,0.48066695642109797,4.497062739488415
France,1966,4.574203617317569,10.5067014102406,13.916597999756,34.3295652514124,0.520945818383893,4.811116405714309
France,1967,4.832148925650659,11.638455420821899,14.6570050564324,36.969304616808195,0.563205917310816,5.278489296592466
France,1968,5.63840203280742,13.4714428962963,15.5034269835671,41.027488538473804,0.614391017038053,5.79982560876484
France,1969,6.78831704651743,15.728850626335399,17.6778299104276,47.7986770416499,0.706741818131076,6.89693764023847
France,1970,7.881551711056329,17.6716433420341,18.5201589847481,52.8818126007233,0.7905953140223909,8.01786324886243
France,1971,8.246791925978231,19.9710530765305,20.1478166710238,57.9924097376892,0.881757372936936,8.744990691219641
France,1972,9.42285945167421,22.518374642098,22.6521434649889,65.06324203357039,0.984247075573372,9.48561739923591
France,1973,10.6559056441685,25.7680297250563,26.026550871869,74.3791495063309,1.1289591392898,10.799704125947299
France,1974,14.315865173277,30.8197708087812,28.107916266462798,87.7422008198066,1.31684329990076,13.1818052713849
France,1975,14.346790767298401,38.1493205961386,33.551210858136905,102.271666172181,1.48357539730422,14.74076855330236
France,1976,18.8551656282102,45.6920805585036,40.505866220753404,123.27603332011,1.71463165480972,16.508289257833052
France,1977,21.3660056572813,53.3717470544451,43.188282024980104,138.185182781741,1.92970593413792,18.32944211089584
France,1978,23.079740986430302,60.78280073140429,50.710346543609596,157.11709556687,2.19266325158647,20.351544053838822
France,1979,27.3830721982354,73.171491955653,60.4349648304077,186.50556706159298,2.5045980047165197,23.01144007258094
France,1980,33.0888940147937,84.9403535998377,67.3476934080971,214.502043584215,2.84147118502996,26.28363137645634
France,1981,38.0778780348549,95.53364712785921,76.4604277195853,244.558399954131,3.20762264492442,31.278824426907903
France,1982,44.5328573592677,112.924128998179,89.4694830180779,287.299675700854,3.68566053134232,36.68754579398745
France,1983,50.0798395920357,127.643536856099,99.1568222455771,322.45695240540005,4.0914870476486005,41.48526666404055
France,1984,56.081820367423,141.411918362168,110.224212584401,356.59357824453497,4.44696498650138,44.42866194404082
France,1985,59.294810076073404,151.280191800714,118.67540175780299,383.24746317109805,4.7655919178213795,49.2314676186856
France,1986,63.6577961012342,159.06140740928,125.644609904346,406.632698530131,5.12351652708384,53.145368588188404
France,1987,67.5477836414303,169.158687193329,133.586149500068,430.252628371475,5.383825905605719,54.5761821310424
France,1988,69.8147763801512,180.35899754109101,141.90343074521797,455.386703053726,5.81927034211544,57.4902280451515
France,1989,75.630757751303,195.11540642426598,148.5868354031,488.37536095126,6.271533279076199,62.7708280935149
France,1990,81.8137379469411,206.769729352196,156.204597620062,518.126525057849,6.62642628130149,66.7120338573479
France,1991,86.3537234051647,214.380940250126,160.694510468129,540.687601910096,6.86643269817192,72.391995088505
France,1992,86.8837217075565,225.088236937044,164.07718462586402,557.278854594594,7.11347722349588,74.11623410063339
France,1993,89.3117139305889,229.713365094044,170.023096365457,570.40338710354,7.18351866740871,74.1716930460409
France,1994,94.331697851356,235.321520489602,181.676084062164,593.902735812626,7.42094004176404,75.1524933677404
France,1995,97.8122000000001,242.4783,191.1726,618.3317,7.6625,79.20609999999999
France,1996,107.0981,250.9624,203.1641,649.9395,6.3851,82.3298
France,1997,117.7224,253.2336,210.056,668.7814,6.0307,81.7387
France,1998,151.6585,236.7719,217.9758,694.5214,6.1742,81.941
France,1999,164.8119,247.8099,225.1531,727.0447,6.9087,82.3611
France,2000,174.235,257.7484,228.6921,756.0065,7.7635,87.5675
France,2001,185.3186,267.826,231.4058,786.539,6.804,95.18459999999999
France,2002,178.1055,278.1127,239.3311,800.9865,7.5468,97.8904
France,2003,177.6455,290.1855,244.8831,815.4686,8.9359,93.81859999999999
France,2004,187.9567,299.102,258.8919,855.6066,10.6635,98.9925
France,2005,198.8579,310.6986,270.9405,894.3411,9.624199999999991,104.21990000000001
France,2006,217.1415,327.2044,281.529,943.1782,7.5837,109.7196
France,2007,226.0171,339.5622,291.8699,981.3519,7.3827,116.52000000000001
France,2008,235.552,349.0107,295.2,1010.5304,7.5121,123.25559999999999
France,2009,205.2234,352.6067,290.8671,979.7734,7.6099,123.4663
France,2010,222.0979,360.249,294.7851,1009.2013,5.0915,126.9778
France,2011,239.7767,374.6411,312.1211,1066.3192,8.9738,130.8065
France,2012,258.7105,385.6016,321.2631,1100.9659,7.1726,128.2181
France,2013,270.6396,397.3552,330.661,1137.6462,7.8803,131.1101
France,2014,272.4581,407.2368,338.98,1159.1451,8.436,132.0342
France,2015,278.5416,411.4915,349.757,1182.3268,10.014,132.5227
France,2016,278.5872,416.5228,358.248,1196.6229,9.9705,133.2944
France,2017,293.92380000000003,429.0751,374.586,1244.3869,12.5487,134.2533
France,2018,311.4604,422.9873,389.537,1273.0161,13.6874,135.344
France,2019,318.194,406.074,409.021,1287.9292,16.025,138.61520000000002
France,2020,306.198,390.712,390.305,1223.2726,9.044,127.01360000000001
France,2021,324.072,417.675,416.396,1326.2748,23.85,144.2818
France,2022,359.122,442.264,441.198,1424.9695,28.076,154.3095
France,2023,357.272,462.272,443.463,1455.038,28.909,163.12199999999999
France,2024,367.35877064488596,478.981284899189,455.556933962596,1501.56259092397,29.7672514012163,169.8983500160803
