Country,Year,Expenditure_Total,Total_Debt,Revenue_Total,Expenditure_Interest,SFA,IR,Surplus,Primary_Surplus
Italy,1961,4.1618981469823,6.2644878911397,4.0503965413789,0.159428116310381,NA,NA,-0.11150160560339994,0.04792651070698106
Italy,1962,4.8471751241909,7.1443017068215,4.68908364582363,0.17175722397171803,0.7217223373145298,2.7417600122532955,-0.15809147836727,0.013665745604448026
Italy,1963,5.67249777891659,8.65206868162753,5.46624598263612,0.17898463191112102,1.3015151785255599,2.5052781819141745,-0.20625179628046997,-0.02726716436934895
Italy,1964,6.352230095587809,9.7599644020917,6.1957090623698905,0.18493661492004299,0.9513746872462523,2.1374843603906157,-0.15652103321791877,0.028415581702124215
Italy,1965,7.33096162990734,11.109044604847,6.54573905523551,0.205343413807771,0.5638576280834693,2.1039360939038154,-0.7852225746718302,-0.5798791608640592
Italy,1966,7.92985504222272,12.265953670806999,7.09071385075675,0.260186685818543,0.31776787449403,2.342115772089173,-0.8391411914659699,-0.5789545056474269
Italy,1967,8.60233420085401,13.8494244267748,8.05581928888242,0.32140708248172895,1.0369558439962105,2.620318738417206,-0.54651491197159,-0.22510782948986102
Italy,1968,9.62934053852139,15.7784150044555,8.89175480004631,0.352867564100311,1.191404839205621,2.547886130329861,-0.7375857384750795,-0.38471817437476846
Italy,1969,10.451437560622999,17.5424101616554,9.53953241057082,0.406860552824094,0.8520900071477211,2.5785895016020617,-0.9119051500521795,-0.5050445972280855
Italy,1970,11.8812930628163,19.903785797125703,10.7217810608843,0.472757507565718,1.201863633538304,2.6949404512219317,-1.1595120019319989,-0.6867544943662809
Italy,1971,13.754227666459999,23.371601311114702,11.904766762249599,0.590946884457147,1.6183546097785992,2.9690175049134893,-1.8494609042103995,-1.2585140197532525
Italy,1972,15.8787297343216,28.299626296359403,12.945138195347601,0.728267635305823,1.9944334462706994,3.1160365334466182,-2.9335915389739995,-2.2053239036681767
Italy,1973,18.548770543943803,36.4144893001271,15.2639227732332,0.9646463890886801,4.830015233057097,3.4086894964149286,-3.284847770710604,-2.320201381621924
Italy,1974,23.155004311213002,45.7954495157613,19.079175666949798,1.44633187116778,5.305131571370993,3.9718581777905966,-4.075828644263204,-2.629496773095424
Italy,1975,29.6212797339335,61.43992706123829,21.9601248137187,2.1189059511758397,7.983322625262197,4.626891915203456,-7.661154920214798,-5.542248969038958
Italy,1976,36.2916550071823,76.94561434125191,28.916321104148,3.01085311922699,8.130353376979315,4.900482899704647,-7.375333903034299,-4.364480783807309
Italy,1977,44.5490906734189,97.5501453947727,36.636664529309094,3.97805035817664,12.692104909410979,5.1699507401865485,-7.9124261441098085,-3.9343757859331685
Italy,1978,55.601686182387,121.673931711021,44.2662130944244,5.54299674787935,12.788313228285702,5.682202446185566,-11.335473087962598,-5.7924763400832475
Italy,1979,66.8067454978588,146.61104839410999,53.333373079923,6.69257975188807,11.463744265153196,5.500422035989709,-13.4733724179358,-6.780792666047729
Italy,1980,84.84400637108651,178.64442399982102,70.5932636042257,9.00152401770589,17.78263283885022,6.13973102048121,-14.25074276686081,-5.24921874915492
Italy,1981,110.95990779678101,224.364655015069,84.31721479786749,12.406965626537001,19.077538016334472,6.945061787402573,-26.642692998913517,-14.235727372376516
Italy,1982,137.212827849955,275.67434853943104,108.26072594415801,18.887902945516203,22.357591618565067,8.418395020484681,-28.952101905796994,-10.064198960280791
Italy,1983,167.322956323575,269.128397872177,133.270239188335,26.148712388655103,-40.59866780249402,9.485362902713062,-34.05271713523999,-7.904004746584885
Italy,1984,192.193708718446,318.72650654937405,147.97999472897,32.0897382370622,5.384394687721056,11.9235794107106,-44.21371398947599,-12.123975752413791
Italy,1985,218.767515786373,386.270778887755,165.246763201346,36.1940652494672,14.023519753353952,11.355837843960543,-53.520752585027,-17.326687335559797
Italy,1986,244.808282451411,446.225747164666,187.67555800897298,41.703161921416495,2.8222438344729994,10.796354319500534,-57.13272444243802,-15.429562521021523
Italy,1987,264.32544604187797,506.447619798237,204.143014367006,41.0512688125034,0.03944095869900366,9.199663863715752,-60.182431674871964,-19.131162862368562
Italy,1988,297.294166696544,576.70558152288,233.136654882299,47.8831485873545,6.100449910398083,9.454708979860662,-64.15751181424497,-16.274363226890472
Italy,1989,334.28002649982,612.70612642986,261.394839996978,58.0894750532816,-36.884641595862036,10.072639647406808,-72.88518650284198,-14.795711449560372
Italy,1990,378.738491614375,691.518130145139,298.008758044992,70.7154047762173,-1.917729854103925,11.541488117356453,-80.72973356938297,-10.014328793165674
Italy,1991,421.99983160704403,776.9449943797559,334.275485869342,86.89875118858949,-2.2974815030851232,12.566373519426133,-87.72434573770204,-0.8255945491125516
Italy,1992,455.574315746957,869.15850848327,371.516257232942,98.5178460025137,8.15545558949907,12.680157117320977,-84.05805851401499,14.45978748849872
Italy,1993,477.324848185101,973.658843325475,393.61078699084004,105.02277938685201,20.78627364794403,12.083271159609609,-83.71406119426098,21.30871819259103
Italy,1994,480.64816760360304,1072.6832713303102,400.460581856872,99.6876541887534,18.836842258104127,10.238458251791359,-80.18758574673103,19.500068442022368
Italy,1995,509.592,1174.121,438.289,109.776,30.134728669689935,10.233775703788037,-71.303,38.473
Italy,1996,538.01,1305.748,468.772,115.57,62.388999999999896,9.843108163468669,-69.238,46.331999999999994
Italy,1997,540.15,1384.062,507.513,99.8659999999999,45.676999999999794,7.648183263539359,-32.637,67.2289999999999
Italy,1998,547.851,1457.787,513.774,89.383,39.64800000000014,6.458019944193251,-34.077,55.306
Italy,1999,554.351,1438.827,533.453,74.997,-39.85800000000006,5.144578734753431,-20.898000000000025,54.098999999999975
Italy,2000,577.169,1470.633,547.045,75.961,1.6820000000000164,5.279369931200901,-30.124000000000024,45.836999999999975
Italy,2001,616.778,1530.486,575.153,79.082,18.228000000000065,5.377412311569235,-41.625,37.456999999999994
Italy,2002,630.226,1570.204,591.19,73.477,0.6819999999999027,4.800893311013626,-39.035999999999945,34.44100000000006
Italy,2003,657.271,1590.148,612.124,69.138,-25.202999999999975,4.4031221420910915,-45.146999999999935,23.99100000000007
Italy,2004,680.101,1685.297,629.663,66.749,44.711000000000126,4.197659588918768,-50.43799999999999,16.311000000000007
Italy,2005,705.365,1775.222,643.925,67.224,28.4849999999999,3.9888518166234204,-61.440000000000055,5.783999999999949
Italy,2006,741.87,1799.537,685.63,68.871,-31.924999999999955,3.8795711184291317,-56.24000000000001,12.630999999999986
Italy,2007,755.725,1796.277,734.222,76.677,-24.763000000000034,4.260929339046655,-21.503000000000043,55.173999999999964
Italy,2008,784.89,1867.86,742.417,80.678,29.1099999999999,4.491400825151132,-42.472999999999956,38.20500000000004
Italy,2009,808.728,2001.847,728.627,69.499,53.88600000000008,3.7207820714614583,-80.101,-10.602000000000004
Italy,2010,805.717,2021.865,738.388,68.857,-47.31099999999992,3.4396734615582507,-67.32899999999995,1.5280000000000484
Italy,2011,812.549,1965.592,754.137,76.566,-114.68499999999995,3.7868997188239573,-58.412000000000035,18.153999999999968
Italy,2012,824.301,2240.248,775.551000000001,83.582,225.90600000000074,4.252255808936951,-48.74999999999909,34.8320000000009
Italy,2013,825.233,2343.214,778.629,77.659,56.361999999999966,3.466535847816849,-46.60399999999993,31.055000000000078
Italy,2014,829.632,2572.767,783.525,74.442,183.4459999999999,3.1769185400906617,-46.10699999999997,28.335000000000022
Italy,2015,835.694,2623.42,794.792,68.116,9.751000000000317,2.6475774914712447,-40.90199999999993,27.21400000000007
Italy,2016,835.037,2639.88,794.041,66.258,-24.535999999999945,2.5256344771329027,-40.99599999999998,25.262000000000015
Italy,2017,851.015,2648.524,807.248,65.333,-35.12300000000016,2.4748473415458276,-43.76699999999994,21.56600000000006
Italy,2018,859.018,2610.974,820.050000000001,64.366,-76.51799999999878,2.4302592689362075,-38.96799999999905,25.39800000000095
Italy,2019,873.598,2782.161,847.437,60.214,145.02599999999995,2.3061891845725007,-26.160999999999945,34.053000000000054
Italy,2020,948.296,3059.699,791.669,57.126,120.91099999999983,2.053295981073705,-156.62700000000007,-99.50100000000006
Italy,2021,1032.343,3134.228,869.213,62.994,-88.60100000000011,2.0588299698761214,-163.1300000000001,-100.13600000000011
Italy,2022,1096.547,2894.58,934.972,81.845,-401.2230000000002,2.6113288503580465,-161.57500000000005,-79.73000000000005
Italy,2023,1144.854,3152.595,992.119,77.998,105.27999999999997,2.694622363175314,-152.735,-74.73700000000001
Italy,2024,1103.6684045573,3243.69248376623,1026.61647740581,88.5762913197691,14.045556614740235,2.8096311552790354,-77.05192715148996,11.524364168279135
