Country,Year,Expenditure_Total,Revenue_Total,Total_Debt,Expenditure_Interest,SFA,IR,Surplus,Primary_Surplus
Spain,1964,1.7011875178787799,1.66688709013197,NA,0.0442200315085444,NA,NA,-0.03430042774680997,0.009919603761734432
Spain,1965,2.05196256811122,1.97222254486795,NA,0.0572991957575505,NA,NA,-0.0797400232432699,-0.0224408274857194
Spain,1966,2.36054836832196,2.29573015995827,NA,0.055430743721978204,NA,NA,-0.06481820836369012,-0.009387464641711918
Spain,1967,2.81990697472969,2.80660344476023,NA,0.060413282483504305,NA,NA,-0.013303529969459937,0.04710975251404437
Spain,1968,3.18606504748741,3.12527254216776,NA,0.07847498549403649,NA,NA,-0.0607925053196503,0.017682480174386186
Spain,1969,3.6441499338972103,3.62730105215523,NA,0.0903085150526611,NA,NA,-0.016848881741980293,0.07345963331068081
Spain,1970,4.1210637072762495,4.13168588069167,NA,0.0990279578853319,NA,NA,0.010622173415420377,0.10965013130075228
Spain,1971,5.009021604059029,4.68536724815292,NA,0.10276486195647601,NA,NA,-0.32365435590610936,-0.22088949394963336
Spain,1972,5.69815837421965,5.576748970066141,NA,0.118958112931436,NA,NA,-0.12140940415350965,-0.0024512912220736455
Spain,1973,6.7860346317734805,6.928906853593681,NA,0.16006405771402699,NA,NA,0.1428722218202001,0.3029362795342271
Spain,1974,8.40991629642338,8.22323042193613,NA,0.158195605678455,NA,NA,-0.1866858744872495,-0.02849026880879449
Spain,1975,10.54383000868,10.198148397271401,NA,0.176880126034178,NA,NA,-0.3456816114085992,-0.16880148537442122
Spain,1976,13.1634937584321,12.616730643796801,NA,0.201792819841808,NA,NA,-0.5467631146352989,-0.34497029479349095
Spain,1977,17.7023051659912,16.6546597011024,NA,0.29272415223966003,NA,NA,-1.0476454648887987,-0.7549213126491388
Spain,1978,23.047516964840902,20.7496750257153,NA,0.38801520605384704,NA,NA,-2.2978419391256004,-1.9098267330717533
Spain,1979,27.7320434428027,25.1537384730635,NA,0.503236414914139,NA,NA,-2.5783049697392,-2.0750685548250614
Spain,1980,33.975086376375096,30.454037114928198,26.9132741528036,0.729319111218387,NA,NA,-3.5210492614468976,-2.791730150228511
Spain,1981,40.9055126909998,35.7978092205634,32.9022150772139,0.891755378550164,0.8812374539739096,3.3134406965392147,-5.107703470436398,-4.215948091886235
Spain,1982,49.7442506319971,41.6943703574186,43.26032677242,1.2527979322552099,2.3082314206275996,3.807640091450324,-8.049880274578499,-6.7970823423232885
Spain,1983,58.0260540949109,50.0745817435523,57.289319145151,1.90977700539062,6.0775200213724005,4.414615302000379,-7.951472351358596,-6.041695345967977
Spain,1984,66.0049387430324,55.9266276172109,74.7505063055026,3.34934376324188,7.382876034530099,5.846366850260203,-10.0783111258215,-6.7289673625796205
Spain,1985,78.1461504592766,64.2330873399044,90.02038946208181,5.91873038860729,1.3568200372070152,7.917980333695206,-13.913063119372197,-7.994332730764906
Spain,1986,88.47705944399421,74.5579878640871,104.74470052403301,7.79711159385308,0.8052394820440867,8.661495068444868,-13.919071579907111,-6.121959986054032
Spain,1987,95.1872256310696,86.35309873708239,113.49865968418601,7.65928232359804,-0.08016773383420173,7.312333975159599,-8.834126893987204,-1.1748445703891637
Spain,1988,105.770313022466,95.6233910028901,117.494366545158,8.20815994850752,-6.151215158603904,7.2319443871381495,-10.146922019575896,-1.9387620710683766
Spain,1989,122.785632695269,112.246334223701,133.094460921196,9.5169281519028,5.060795904469998,8.099901664855604,-10.539298471568003,-1.0223703196652032
Spain,1990,140.710423691592,124.80002975786,154.312009867417,11.385551532705799,5.307155012489005,8.554489385885923,-15.91039393373201,-4.524842401026211
Spain,1991,159.56402852665101,139.669546769375,175.87081392050698,13.1675742215786,1.664322295813946,8.53308451681241,-19.894481757276026,-6.726907535697427
Spain,1992,175.074919442366,157.780345022701,199.070177814257,15.063641483627,5.904789474085021,8.565174145629255,-17.294574419664997,-2.2309329360379966
Spain,1993,194.852976245298,164.262895470695,259.192837205699,19.3400080456996,29.532578616839004,9.71517093019571,-30.590080774602995,-11.250072728903394
Spain,1994,198.051878951233,167.503041841938,270.485693795715,20.19320782042,-19.255980519278978,7.790804729836879,-30.548837109294993,-10.355629288874994
Spain,1995,203.062,171.795,314.206,22.74,12.453306204284985,8.407098978467394,-31.267000000000024,-8.527000000000026
Spain,1996,209.578,180.897,365.161,24.6,22.273999999999972,7.829258511931663,-28.68100000000001,-4.08100000000001
Spain,1997,215.299,195.271,382.63,23.543,-2.559000000000026,6.447293111805477,-20.02800000000002,3.5149999999999793
Spain,1998,227.597,213.003,409.436,22.589,12.21199999999996,5.903614457831325,-14.594000000000023,7.994999999999976
Spain,1999,237.779,230.397,406.577,20.307,-10.240999999999985,4.959749509080784,-7.382000000000005,12.924999999999994
Spain,2000,253.267,245.747,424.11,20.485,10.013000000000034,5.038406009193831,-7.519999999999982,12.965000000000018
Spain,2001,269.195,266.006,427.01,20.815,-0.2890000000000441,4.907924830822193,-3.1890000000000214,17.62599999999998
Spain,2002,289.527,287.171,446.589,19.712,17.223000000000013,4.616285332896186,-2.3559999999999945,17.356000000000005
Spain,2003,307.796,304.787,440.817,18.459,-8.781000000000006,4.133330646298946,-3.0090000000000146,15.449999999999985
Spain,2004,333.666,332.725,456.06,17.104,14.302000000000021,3.8800681461921838,-0.9409999999999741,16.163000000000025
Spain,2005,356.785,368.206,468.129,16.201,23.49000000000001,3.5523834583168887,11.420999999999992,27.621999999999993
Spain,2006,385.757,407.079,462.718,16.168,15.911000000000001,3.4537488598228263,21.322000000000003,37.49
Spain,2007,422.164,442.451,455.521,17.009,13.090000000000032,3.675888986380474,20.287000000000035,37.296000000000035
Spain,2008,459.813,409.082,529.082,17.542,22.829999999999984,3.850975037374786,-50.730999999999995,-33.18899999999999
Spain,2009,494.353,373.777,672.247,18.355,22.589,3.4692164919615487,-120.57600000000002,-102.22100000000002
Spain,2010,493.817,391.624,725.007,20.437,-49.43299999999999,3.040102819350626,-102.19299999999998,-81.75599999999999
Spain,2011,490.908,387.333,835.595,26.562,7.0130000000000905,3.6636887643843443,-103.57499999999999,-77.01299999999999
Spain,2012,509.936,390.842,1001.775,31.353,47.085999999999956,3.7521765927273383,-119.094,-87.74099999999999
Spain,2013,473.398,396.593,1135.99,36.553,57.40999999999997,3.648823338574031,-76.805,-40.25200000000001
Spain,2014,467.841,405.125,1281.56,36.706,82.85399999999993,3.2311904154085864,-62.71600000000001,-26.010000000000005
Spain,2015,474.893,417.645,1307.839,33.368,-30.968999999999994,2.603701738506196,-57.24799999999999,-23.87999999999999
Spain,2016,472.717,425.316,1349.65,31.226,-5.589999999999861,2.387602755385028,-47.40100000000001,-16.17500000000001
Spain,2017,479.908,444.005,1386.224,29.613,0.6709999999998217,2.194124402622902,-35.90300000000002,-6.2900000000000205
Spain,2018,503.193,472.25,1415.993,29.593,-1.1739999999999782,2.1347920682371684,-30.942999999999984,-1.3499999999999837
Spain,2019,526.769,488.347,1501.255,28.231,46.840000000000146,1.9937245452484584,-38.422000000000025,-10.191000000000024
Spain,2020,580.164,468.267,1656.401,25.127,43.249000000000024,1.6737329767427915,-111.89699999999999,-86.77
Spain,2021,611.124,528.95,1721.023,26.17,-17.552000000000135,1.5799314296477727,-82.17399999999998,-56.00399999999998
Spain,2022,637.117,574.012,1561.739,31.775,-222.3889999999999,1.8462856103608145,-63.10500000000002,-31.33000000000002
Spain,2023,680.952,628.283,1663.988,35.707,49.58000000000004,2.2863615495290825,-52.66899999999998,-16.961999999999982
Spain,2024,713.199269696654,665.5956330014151,1739.03945369638,40.427053262395894,27.447817001140947,2.4295279330377317,-47.60363669523895,-7.176583432843053
