Country,Year,Total_Debt,Expenditure_Interest,Revenue_Total,Expenditure_Total,SFA,IR,Surplus,Primary_Surplus
United States,1961,339.175,17.85,155.839998428344,176.549998428344,NA,NA,-20.710000000000008,-2.8600000000000065
United States,1962,352.389,19.6605,168.60435303833302,190.353353038333,-8.534999999999997,5.7965651949583545,-21.748999999999995,-2.0884999999999962
United States,1963,363.367,21.25475,181.29431468608098,199.636064686081,-7.36375000000001,6.031615629318736,-18.34175000000002,2.9129999999999825
United States,1964,376.365,22.922,187.43765116268798,210.347151162688,-9.911500000000018,6.30822281605099,-22.90950000000001,0.012499999999992184
United States,1965,386.326,24.4605,202.91180233178102,224.423552331781,-11.550749999999965,6.49914311904667,-21.511749999999978,2.9487500000000217
United States,1966,399.041,26.6955,227.514951433439,253.413951433439,-13.184000000000026,6.91009665412113,-25.899,0.7964999999999982
United States,1967,420.017,29.09,243.656480492947,283.87023049294703,-19.237750000000005,7.289977721587507,-40.21375000000003,-11.123750000000033
United States,1968,441.251,32.788,280.20273410269,313.51748410269,-12.080750000000023,7.806350695328998,-33.314750000000004,-0.5267500000000069
United States,1969,452.145,36.63425,314.099258825615,336.746758825615,-11.753500000000031,8.302360787850906,-22.647500000000036,13.986749999999965
United States,1970,481.58,44.38325,318.8675,369.65275,-21.350250000000017,9.81615410985414,-50.78525000000002,-6.402000000000022
United States,1971,529.71,48.62075,339.62025,404.565,-16.814749999999947,10.09608995390174,-64.94475,-16.323999999999998
United States,1972,562.617,53.46375,388.03075,442.50575,-21.56800000000004,10.093022597270203,-54.474999999999966,-1.0112499999999685
United States,1973,588.981,61.98,434.94425,478.22525,-16.916999999999973,11.01637526061246,-43.281000000000006,18.69899999999999
United States,1974,621.683,69.526,480.9265,537.19325,-23.564750000000004,11.804455491773078,-56.26675000000006,13.259249999999938
United States,1975,730.744,77.40325,496.015,624.709,-19.632999999999925,12.450597812711624,-128.69399999999996,-51.29074999999996
United States,1976,817.096,86.72425,565.62425,669.2655,-17.289250000000038,11.86793870356787,-103.64125000000001,-16.917000000000016
United States,1977,885.032,95.7525,634.85425,723.3305,-20.540250000000015,11.718635264399776,-88.47625000000005,7.276249999999948
United States,1978,975.748,112.44625,718.9425,800.82175,8.836750000000052,12.70533155863291,-81.87924999999996,30.56700000000005
United States,1979,1056.755,128.4595,812.26375,889.75275,3.518000000000029,13.165233236450394,-77.48900000000003,50.97049999999996
United States,1980,1167.721,148.75575,893.984,1020.8965,-15.946500000000015,14.0766544752568,-126.91249999999991,21.843250000000097
United States,1981,1284.086,180.093,1025.30675,1153.3675,-11.69575000000009,15.42260522847495,-128.0607500000001,52.03224999999989
United States,1982,1494.401,206.165,1058.2855,1277.5025,-8.902000000000044,16.055388813521834,-219.2170000000001,-13.052000000000106
United States,1983,1730.171,227.96475,1127.3535,1389.41875,-26.295250000000124,15.254590300729188,-262.0652500000001,-34.100500000000096
United States,1984,1989.159,260.064,1249.8965,1495.24625,13.638250000000198,15.03111542153926,-245.34974999999986,14.714250000000163
United States,1985,2339.158,285.77925,1363.87175,1634.745,79.12574999999993,14.366837945081311,-270.87324999999987,14.90600000000012
United States,1986,2626.769,302.683,1452.3105,1747.33,-7.408500000000004,12.939827065978443,-295.0194999999999,7.663500000000113
United States,1987,2871.88,314.65925,1578.22075,1842.17175,-18.83999999999969,11.9789463786119,-263.951,50.708249999999964
United States,1988,3126.7,333.72725,1693.058,1939.3375,8.54049999999961,11.620515132944274,-246.2795000000001,87.44774999999993
United States,1989,3375.67,362.09725,1836.131,2088.6915,-3.590499999999338,11.58081203825119,-252.56049999999982,109.53675000000015
United States,1990,3662.908,383.32275,1938.5055,2264.85375,-39.11025000000063,11.355456842641608,-326.34825000000023,56.97449999999975
United States,1991,4067.78,408.691,2007.82725,2395.23025,17.469000000000506,11.157555690724418,-387.403,21.287999999999954
United States,1992,4457.305,417.216,2112.74575,2587.54775,-85.27700000000004,10.256601881124347,-474.80200000000013,-57.586000000000126
United States,1993,4819.545,422.74275,2239.13375,2681.11075,-79.73700000000008,9.484267960123887,-441.97699999999986,-19.23424999999986
United States,1994,5035.019,434.08025,2405.67125,2773.90075,-152.75549999999976,9.006664529535465,-368.2294999999999,65.85075000000006
United States,1995,5246.45,473.006,2547.03,2905.259,-146.79800000000023,9.394324033335325,-358.2289999999998,114.77700000000016
United States,1996,5477.339,479.3635,2728.00075,3013.70525,-54.8154999999997,9.1369116259566,-285.7044999999998,193.65900000000016
United States,1997,5616.935,485.31125,2922.964,3102.86925,-40.30924999999979,8.860347150322447,-179.90525000000025,305.4059999999997
United States,1998,5641.851,479.2885,3117.45575,3202.6225,-60.25075000000061,8.53291875373313,-85.16674999999987,394.12175000000013
United States,1999,5653.462,465.6225,3307.666,3358.555,-39.27799999999888,8.253009517621079,-50.88899999999967,414.73350000000033
United States,2000,5419.157,464.812,3566.11175,3534.79275,-202.98600000000033,8.221723255590998,31.31899999999996,496.131
United States,2001,5592.977,459.8175,3586.92575,3789.122,-28.376250000000255,8.485037432943907,-202.19624999999996,257.62125000000003
United States,2002,6038.233,452.22375,3451.89625,4037.4695,-140.31725000000006,8.08556427104921,-585.5732500000004,-133.34950000000038
United States,2003,6686.201,475.58525,3549.06175,4292.3295,-95.29975000000013,7.876232169245538,-743.26775,-267.6825
United States,2004,8045.873,480.65725,3810.095,4520.60975,649.1572500000002,7.1887945037847345,-710.5147499999998,-229.85749999999985
United States,2005,8502.751,521.517,4246.12275,4833.97925,-130.97849999999926,6.481795076805215,-587.8564999999999,-66.33949999999982
United States,2006,8835.025,560.86875,4614.16025,5089.859,-143.42475000000104,6.596321002461439,-475.6987500000005,85.1699999999995
United States,2007,9313.482,600.017,4840.5365,5434.15975,-115.16624999999931,6.79134467644404,-593.6232499999996,6.393750000000409
United States,2008,10811.145,592.30375,4782.13025,5888.50975,391.28350000000046,6.359638103128347,-1106.3795,-514.07575
United States,2009,12501.307,621.5535,4366.332,6282.967,-226.47299999999905,5.7491921530975665,-1916.6349999999993,-1295.0814999999993
United States,2010,14281.96,648.45875,4616.73875,6502.361,-104.96925000000101,5.187127633934596,-1885.6222499999994,-1237.1634999999994
United States,2011,15480.026,691.2075,4831.06075,6561.82075,-532.6939999999995,4.83972437956695,-1730.7600000000002,-1039.5525000000002
United States,2012,16709.229,703.74675,5024.18975,6541.073,-287.68025000000125,4.546159999989665,-1516.8832500000008,-813.1365000000008
United States,2013,17568.463,686.541,5568.9075,6574.0595,-145.91799999999967,4.108753312316206,-1005.152,-318.611
United States,2014,18307.768,701.3555,5806.985,6745.974,-199.6840000000002,3.9921278258661554,-938.9890000000005,-237.63350000000048
United States,2015,19097.603,698.01975,6078.955,6935.5935,-66.8035000000009,3.81269715674789,-856.6385,-158.61874999999998
United States,2016,19989.134,737.072,6156.7465,7179.83575,-131.55825000000095,3.8595000639609065,-1023.08925,-286.01725
United States,2017,20638.232,767.644,6551.48875,7428.4695,-227.88274999999794,3.8403064384880308,-876.9807499999997,-109.33674999999971
United States,2018,22010.942,826.647,6541.955,7817.503,97.16199999999935,4.005415773986842,-1275.5479999999998,-448.9009999999997
United States,2019,23203.514,883.27225,6807.84575,8260.723,-260.30524999999943,4.012878004039991,-1452.8772499999995,-569.6049999999996
United States,2020,28088.152,813.468,6914.11625,10112.35125,1686.4029999999984,3.505796578914728,-3198.2349999999997,-2384.767
United States,2021,29425.676,851.95225,7918.1335,10721.8845,-1466.226999999999,3.0331374239216595,-2803.751,-1951.7987500000002
United States,2022,30784.56,963.9695,9204.91025,10164.626,399.16825000000244,3.275946829564765,-959.7157499999994,4.25375000000065
United States,2023,33417.432,1216.552,8975.92880695156,11089.0353069516,519.7654999999595,3.9518252006850183,-2113.10650000004,-896.55450000004
United States,2024,35585.77656709,1372.01095416975,9462.55038970308,11688.9156018462,-58.0206450531241,4.105674410199294,-2226.3652121431205,-854.3542579733705
